Article ID,Credibility Indicator ID,Credibility Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End,target_text
3be14d67e2d88964904dcbe7df176bb81dacfc76a6f2e4ec66b45681c86c9301,E0,Evidence,Open to evidence,-1.0,[],-1,-1,nan
3be14d67e2d88964904dcbe7df176bb81dacfc76a6f2e4ec66b45681c86c9301,H0,Holistic,Qualified Source,2.0,[],-1,-1,nan
3be14d67e2d88964904dcbe7df176bb81dacfc76a6f2e4ec66b45681c86c9301,H0,Holistic,Qualified Source,1.0,[],-1,-1,nan
3be14d67e2d88964904dcbe7df176bb81dacfc76a6f2e4ec66b45681c86c9301,H0,Holistic,Qualified Source,2.0,[],-1,-1,nan
3be14d67e2d88964904dcbe7df176bb81dacfc76a6f2e4ec66b45681c86c9301,H0,Holistic,Qualified Source,2.0,[],-1,-1,nan
3be14d67e2d88964904dcbe7df176bb81dacfc76a6f2e4ec66b45681c86c9301,H0,Holistic,Vaguely Sourced,-1.0,[],-1,-1,nan
3be14d67e2d88964904dcbe7df176bb81dacfc76a6f2e4ec66b45681c86c9301,L0,Language,Metaphor unhelpful,-1.0,"[387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397]",387,398,nan
3be14d67e2d88964904dcbe7df176bb81dacfc76a6f2e4ec66b45681c86c9301,P0,Probability,Acknowledges uncertainty,0.22509372712410186,"[2923, 2924, 2925, 2926, 2927, 2928, 2929, 2930, 2931, 2932, 2933, 2934, 2935, 2936, 2937, 2938, 2939, 2940, 2941, 2942, 2943, 2944, 2945, 2946, 2947, 2948, 2949, 2950, 2951, 2952, 2953, 2954, 2955, 2956, 2957, 2958, 2959, 2960, 2961, 2962, 2963, 2964, 2965, 2966, 2967, 2968, 2969, 2970, 2971, 2972, 2973, 2974, 2975, 2976, 2977, 2978, 2979, 2980, 2981, 2982, 2983, 2984, 2985, 2986, 2987, 2988, 2989, 2990, 2991, 2992, 2993, 2994, 2995, 2996, 2997, 2998, 2999, 3000, 3001, 3002, 3003, 3004, 3005, 3006, 3007, 3008, 3009, 3010, 3011, 3012]",2923,3012,Trump's national security advisor O'Brien said during a think-tank appearance on Wednesday//probably cost
3be14d67e2d88964904dcbe7df176bb81dacfc76a6f2e4ec66b45681c86c9301,P0,Probability,Acknowledges uncertainty,0,"[3020, 3021, 3022, 3023, 3024, 3025, 3026, 3027, 3028, 3029, 3030, 3031]",3020,3032,Trump's national security advisor O'Brien said during a think-tank appearance on Wednesday//probably cost
3be14d67e2d88964904dcbe7df176bb81dacfc76a6f2e4ec66b45681c86c9301,P0,Probability,Acknowledges uncertainty,0.2976844375587757,"[259, 260, 261, 262, 263, 264, 265, 266, 267, 268]",259,268,might have//might be
3be14d67e2d88964904dcbe7df176bb81dacfc76a6f2e4ec66b45681c86c9301,P0,Probability,Acknowledges uncertainty,0,"[1120, 1121, 1122, 1123, 1124, 1125, 1126]",1120,1127,might have//might be
