Article ID,Credibility Indicator ID,Credibility Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End,target_text
be0b18a87d4370fa579180ef26dcb7080598f27f9ec76181f2cfd851f320da06,E0,Evidence,Open to evidence,-0.24557026476578414,"[1805, 1806, 1807, 1808, 1809, 1810, 1811, 1812, 1813, 1814, 1815]",1805,1815,As of today//according to data from the European Centre for Disease Prevention and Control
be0b18a87d4370fa579180ef26dcb7080598f27f9ec76181f2cfd851f320da06,E0,Evidence,Open to evidence,0,"[1908, 1909, 1910, 1911, 1912, 1913, 1914, 1915, 1916, 1917, 1918, 1919, 1920, 1921, 1922, 1923, 1924, 1925, 1926, 1927, 1928, 1929, 1930, 1931, 1932, 1933, 1934, 1935, 1936, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983]",1908,1984,As of today//according to data from the European Centre for Disease Prevention and Control
be0b18a87d4370fa579180ef26dcb7080598f27f9ec76181f2cfd851f320da06,E0,Evidence,Open to evidence,-0.8073549220576041,[],-1,-1,nan
be0b18a87d4370fa579180ef26dcb7080598f27f9ec76181f2cfd851f320da06,H0,Holistic,Qualified Source,1.0,[],-1,-1,nan
be0b18a87d4370fa579180ef26dcb7080598f27f9ec76181f2cfd851f320da06,H0,Holistic,Qualified Source,2.0,[],-1,-1,nan
be0b18a87d4370fa579180ef26dcb7080598f27f9ec76181f2cfd851f320da06,H0,Holistic,Qualified Source,1.0,[],-1,-1,nan
be0b18a87d4370fa579180ef26dcb7080598f27f9ec76181f2cfd851f320da06,H0,Holistic,Qualified Source,2.0,[],-1,-1,nan
be0b18a87d4370fa579180ef26dcb7080598f27f9ec76181f2cfd851f320da06,P0,Probability,Acknowledges uncertainty,0.757297649314,"[2204, 2205, 2206, 2207, 2208, 2209, 2210, 2211, 2212, 2213, 2214, 2215, 2216, 2217, 2218, 2219, 2220, 2221, 2222, 2223, 2224, 2225, 2226, 2227, 2228, 2229, 2230, 2231, 2232, 2233, 2234, 2235, 2236, 2237, 2238, 2239, 2240, 2241, 2242, 2243, 2244, 2245, 2246, 2247, 2248, 2249, 2250, 2251, 2252, 2253, 2254, 2255, 2256, 2257, 2258, 2259, 2260, 2261, 2262, 2263, 2264, 2265, 2266, 2267, 2268, 2269, 2270, 2271, 2272, 2273, 2274, 2275, 2276, 2277, 2278, 2279, 2280, 2281, 2282, 2283, 2284, 2285, 2286, 2287, 2288, 2289, 2290, 2291, 2292, 2293, 2294, 2295, 2296, 2297, 2298, 2299, 2300, 2301, 2302, 2303, 2304, 2305, 2306, 2307, 2308, 2309, 2310, 2311, 2312, 2313, 2314, 2315, 2316, 2317, 2318, 2319, 2320, 2321, 2322, 2323, 2324, 2325, 2326, 2327, 2328, 2329, 2330, 2331, 2332, 2333, 2334, 2335, 2336, 2337, 2338, 2339, 2340, 2341, 2342, 2343, 2344, 2345, 2346, 2347, 2348, 2349, 2350, 2351, 2352, 2353, 2354, 2355, 2356, 2357, 2358, 2359, 2360, 2361, 2362, 2363, 2364, 2365, 2366, 2367, 2368, 2369, 2370, 2371, 2372, 2373, 2374, 2375, 2376, 2377, 2378, 2379, 2380, 2381, 2382, 2383, 2384, 2385, 2386, 2387, 2388]",2204,2389,but notes that it can\u2019t explain how risky contaminated surfaces are. \u201cDoes that account for 0.01% of transmissions or 15% of transmissions?\u201d Weber says. \u201cWe don't kno
be0b18a87d4370fa579180ef26dcb7080598f27f9ec76181f2cfd851f320da06,P0,Probability,Open to evidence,0.3333333333333333,[],-1,-1,nan
,,,,,,,,
